Features,Coefficients
isSpam,4.817079947740381
privacy_low,1.2209039462900169
numJournalDrafts,0.41508410496442966
numVisitorInvites,0.14440703385694384
numLinks,0.12964826401694113
siteUpdatedDayOrNight_Day,0.08171783088793018
numTasks,0.032624713529321364
numPhotos,0.017594349616750115
numNotifications,0.01611032246378987
descriptionLen,-0.0009740170119279239
visits,-0.0021330510498483134
siteCreatedDayOrNight_Day,-0.01102308298610067
numJournals,-0.026550302058709268
nameLen,-0.049598526225569844
siteCreatedDayOrNight_Night,-0.1776454096253563
platform_android,-0.1885193865400939
titleLen,-0.19010399827108013
siteUpdatedDayOrNight_Night,-0.27038632349938596
numCoAuthors,-0.2715615180477714
numTributes,-0.3160149419829348
privacy_high,-0.3811085388638259
platform_iphone,-0.39690577712225616
hasVisitorInvite,-0.42293624339665903
numAuthorInvites,-0.6565691378715017
numGuestbooks,-0.8227275980033594
sawReCaptchaSite,-0.9444064678549601
privacy_medium,-1.028463900037653
sawReCaptchaProfile,-1.0665922119003544
isSearchable,-2.2743445874907193
hasJavaScriptOn,-2.3424229380865937
isForSelf,-2.358276813016097
