Features,ModelMetric
isSpam,0.4333020395330227
hasJavaScriptOn,0.123621816439163
isSearchable,0.08992791671419896
visits,0.05555262735243221
isForSelf,0.048298306829302716
sawReCaptchaProfile,0.03404652162497386
privacy_low,0.03300306442886985
numGuestbooks,0.03135271997740392
numPhotos,0.029608251168500774
numNotifications,0.02777096649593656
privacy_medium,0.014037971430880066
numTributes,0.01364222062116832
platform_iphone,0.012390980845504058
sawReCaptchaSite,0.011551092032129553
descriptionLen,0.010843470971397075
titleLen,0.008508917943142196
numTasks,0.0052228875160529355
numJournals,0.004488759718169927
nameLen,0.004093609913572141
privacy_high,0.0031260291444462685
numLinks,0.0013516496945969968
numCoAuthors,0.001072652564901706
siteUpdatedDayOrNight_Night,0.0010201230682695681
numJournalDrafts,0.0009140700566065123
numAuthorInvites,0.0008489295159174026
siteCreatedDayOrNight_Day,0.00029128200944009223
siteCreatedDayOrNight_Night,7.341724149707206e-05
siteUpdatedDayOrNight_Day,2.860401679019318e-05
numVisitorInvites,9.101131713287553e-06
platform_android,0.0
hasVisitorInvite,0.0
